"Invader"	"Resident"	"N"	"F"	"RY"
"Klipspringer"	"Buffalo"	0.812752454116941	0.227104427520744	0.296705014640742
"Buffalo"	"Buffalo"	0	0	0
"Eland"	"Buffalo"	0.768528406157867	-0.247319563822834	0.660177124279885
"Kudu"	"Buffalo"	0.920007573879611	0.164547363066247	0.329334992426202
"Impala"	"Eland"	0.484800513193279	0.130553815109687	0.998946903870379
"Hartebeest"	"Eland"	0.89988013704924	0.460754590669505	1.10362630058695
"Grevy's zebra"	"Eland"	0.986743584066906	0.371996689494074	1.00832596491149
"Plains zebra"	"Eland"	0.977468812248393	0.512986378352143	1.13398468901204
"Waterbuck"	"Eland"	0.832874545844079	-0.0224558086311291	0.832252441522288
"Dik-dik"	"Eland"	0.478422413128401	0.121525927307839	1.04015084332115
"Grant's gazelle"	"Eland"	0.570261950293231	-0.0795587593264099	0.827204668927992
"Oryx"	"Eland"	0.407394008663184	0.00792623435772307	0.905748354877057
"Klipspringer"	"Eland"	0.368287715684882	0.380354806501667	1.11898526977886
"Buffalo"	"Eland"	0.768528406157867	0.198280834355584	1.16467109043028
"Eland"	"Eland"	0	0	0
"Kudu"	"Eland"	0.702848661369317	0.330201608982044	1.08370528922097
"Impala"	"Kudu"	0.458100435143991	-0.298071474266956	-0.559094756984338
"Hartebeest"	"Kudu"	0.969288269665531	0.194913847865545	-0.355413379402465
"Grevy's zebra"	"Kudu"	0.998654847743525	0.062399493746931	-0.447327859583549
"Plains zebra"	"Kudu"	0.98992373085875	0.272895205215861	-0.374226157670427
"Waterbuck"	"Kudu"	0.400675166039702	-0.526512787045079	0.487517263095673
"Dik-dik"	"Kudu"	0.383582986233905	-0.311549989478269	-0.394856370894635
"Grant's gazelle"	"Kudu"	0.550506842181832	-0.611766725336117	-0.0334811651134517
"Oryx"	"Kudu"	0.71569538128934	-0.481152805002307	-0.298517603532528
"Klipspringer"	"Kudu"	0.766057196864148	0.0748780501598404	-0.359990300637601
"Buffalo"	"Kudu"	0.920007573879611	-0.196955944349117	-0.389953636120582
"Eland"	"Kudu"	0.702848661369317	-0.49298656642069	-0.23688103090557
"Kudu"	"Kudu"	0	0	0
